request_id,hospital_name,blood_group,units_required,urgency_level,city,request_date
R00001,Civil Hospital,A+,10,Medium,Vijayawada,2024-09-21
R00002,Apollo Hospitals,B+,5,High,Amritsar,2023-05-08
R00003,AIIMS Hospital,B+,6,High,Indore,2023-02-24
R00004,Apollo Hospitals,O+,3,High,Amritsar,2023-04-15
R00005,Safdarjung Hospital,B-,5,Medium,Ranchi,2024-11-14
R00006,Sassoon General Hospital,O+,6,Low,Chandigarh,2024-01-15
R00007,Breach Candy Hospital,B+,3,High,Bhopal,2024-04-07
R00008,Primary Health Centre,B+,10,Critical,Vadodara,2024-12-08
R00009,Safdarjung Hospital,AB+,2,Critical,Aligarh,2024-12-11
R00010,Breach Candy Hospital,A+,10,High,Indore,2023-01-19
R00011,Medanta - The Medicity,B+,9,High,Coimbatore,2024-09-12
R00012,Civil Hospital,O+,7,Critical,Hubballi,2023-02-18
R00013,Primary Health Centre,B+,4,Medium,Mysore,2024-06-03
R00014,Primary Health Centre,O+,3,Medium,Solapur,2024-01-13
R00015,Manipal Hospitals,AB-,4,Critical,Ranchi,2024-08-01
R00016,ESI Hospital,A+,9,Critical,Aurangabad,2024-08-17
R00017,ESI Hospital,B+,9,High,Ahmedabad,2024-12-25
R00018,Amrita Institute of Medical Sciences,O+,6,Critical,Howrah,2023-03-08
R00019,Lilavati Hospital,O+,9,Medium,Tiruchirappalli,2023-10-24
R00020,Bombay Hospital,O+,9,High,Indore,2023-10-20
R00021,Hinduja Hospital,O+,6,Low,Indore,2024-08-10
R00022,KEM Hospital,A+,5,High,Aligarh,2023-07-06
R00023,ESI Hospital,A+,3,Medium,Thane,2023-01-17
R00024,Manipal Hospitals,O+,1,Medium,Kota,2024-04-08
R00025,Columbia Asia Hospital,A-,4,High,Aligarh,2023-09-19
R00026,Civil Hospital,AB+,1,Medium,Vadodara,2024-08-19
R00027,Government General Hospital,O+,1,Critical,Srinagar,2023-06-19
R00028,Lilavati Hospital,AB+,6,High,Hyderabad,2024-02-17
R00029,ESI Hospital,B+,5,High,Pune,2024-09-04
R00030,Amrita Institute of Medical Sciences,O+,7,High,Delhi,2024-12-24
R00031,Ram Manohar Lohia Hospital,A+,1,Critical,Jaipur,2024-08-09
R00032,Kokilaben Dhirubhai Ambani Hospital,O+,1,High,Nashik,2024-09-30
R00033,Hinduja Hospital,O+,8,Low,Jabalpur,2024-10-02
R00034,Apollo Hospitals,B+,6,Low,Kanpur,2024-03-06
R00035,Narayana Health,B+,8,High,Nashik,2024-10-01
R00036,Christian Medical College,O+,6,High,Amritsar,2024-08-09
R00037,Max Super Speciality Hospital,B+,6,Critical,Kota,2024-01-20
R00038,Medanta - The Medicity,A+,10,Critical,Lucknow,2024-11-03
R00039,Medanta - The Medicity,O+,7,High,Mumbai,2023-10-31
R00040,Breach Candy Hospital,O+,2,Medium,Nagpur,2024-07-19
R00041,Medanta - The Medicity,AB+,3,High,Jodhpur,2024-10-19
R00042,Christian Medical College,B+,4,Critical,Aurangabad,2024-09-11
R00043,Lilavati Hospital,O-,1,Medium,Kolkata,2024-09-06
R00044,Sir Gangaram Hospital,O+,9,High,Amritsar,2024-11-23
R00045,Civil Hospital,AB+,9,Medium,Jaipur,2024-11-25
R00046,Civil Hospital,O+,4,High,Pimpri,2024-04-12
R00047,Fortis Healthcare,B+,1,Medium,Bangalore,2023-04-02
R00048,Hinduja Hospital,A+,1,Low,Allahabad,2024-06-18
R00049,Lilavati Hospital,A-,6,Medium,Solapur,2023-10-30
R00050,Primary Health Centre,B+,2,Medium,Bangalore,2023-05-29
R00051,District Hospital,O+,1,High,Solapur,2024-07-02
R00052,Narayana Health,A+,10,Critical,Dhanbad,2024-01-10
R00053,Lilavati Hospital,O+,2,High,Kolkata,2024-08-16
R00054,ESI Hospital,B-,7,Low,Aligarh,2024-01-29
R00055,KEM Hospital,B+,4,Medium,Varanasi,2024-10-14
R00056,Narayana Health,B+,7,High,Delhi,2024-08-05
R00057,Christian Medical College,B+,7,Medium,Vadodara,2023-09-12
R00058,Apollo Hospitals,B+,4,Medium,Visakhapatnam,2023-05-31
R00059,Bombay Hospital,B+,2,Low,Ranchi,2023-12-05
R00060,Columbia Asia Hospital,O+,9,High,Visakhapatnam,2024-08-01
R00061,Civil Hospital,AB-,10,Low,Gwalior,2023-04-16
R00062,District Hospital,O+,10,Medium,Aurangabad,2023-10-29
R00063,Government General Hospital,O+,3,Critical,Jaipur,2023-01-22
R00064,Max Super Speciality Hospital,O+,1,High,Hyderabad,2024-05-27
R00065,Civil Hospital,A+,8,High,Hubballi,2023-11-14
R00066,Primary Health Centre,O-,4,Critical,Madurai,2024-08-06
R00067,Columbia Asia Hospital,B+,9,Medium,Nagpur,2024-09-25
R00068,Breach Candy Hospital,O+,8,High,Kolkata,2023-07-19
R00069,Max Super Speciality Hospital,O+,7,High,Hubballi,2023-06-29
R00070,Safdarjung Hospital,AB+,9,High,Jaipur,2023-07-14
R00071,Sassoon General Hospital,O-,2,Medium,Rajkot,2023-04-21
R00072,KEM Hospital,A+,4,Medium,Mysore,2023-07-09
R00073,Max Super Speciality Hospital,B+,5,Medium,Jodhpur,2023-08-17
R00074,Primary Health Centre,A+,5,Low,Raipur,2023-10-29
R00075,Safdarjung Hospital,A+,1,Medium,Tiruchirappalli,2023-05-25
R00076,AIIMS Hospital,O+,9,Medium,Kota,2024-03-16
R00077,Apollo Hospitals,A+,9,High,Indore,2024-02-18
R00078,Columbia Asia Hospital,O+,5,Medium,Bareilly,2024-07-31
R00079,Primary Health Centre,O+,10,High,Howrah,2024-07-27
R00080,District Hospital,B+,3,High,Hyderabad,2023-02-26
R00081,Breach Candy Hospital,B+,8,Medium,Ludhiana,2024-02-22
R00082,Columbia Asia Hospital,A+,7,Medium,Amritsar,2024-09-29
R00083,ESI Hospital,O+,5,High,Tiruchirappalli,2024-12-17
R00084,Safdarjung Hospital,O+,1,Critical,Guwahati,2023-01-24
R00085,Breach Candy Hospital,B+,7,High,Ludhiana,2024-07-25
R00086,AIIMS Hospital,A+,1,Low,Guwahati,2024-04-29
R00087,Apollo Hospitals,B+,1,Critical,Aurangabad,2023-06-08
R00088,Narayana Health,A+,9,Low,Faridabad,2024-02-12
R00089,Amrita Institute of Medical Sciences,O+,6,Low,Solapur,2024-10-17
R00090,Safdarjung Hospital,O+,7,Medium,Bhopal,2023-05-01
R00091,Sassoon General Hospital,B+,2,Medium,Jaipur,2024-04-13
R00092,Sassoon General Hospital,O+,8,Low,Ludhiana,2024-03-03
R00093,ESI Hospital,A+,7,High,Delhi,2023-02-01
R00094,Lilavati Hospital,B+,5,Critical,Delhi,2024-10-19
R00095,Breach Candy Hospital,O+,8,Medium,Gwalior,2024-03-28
R00096,Bombay Hospital,A+,2,Critical,Gwalior,2023-06-28
R00097,Manipal Hospitals,B+,6,Critical,Chennai,2023-08-10
R00098,Manipal Hospitals,AB+,4,Critical,Hubballi,2023-11-13
R00099,Christian Medical College,B+,7,High,Kolkata,2024-07-29
R00100,ESI Hospital,B+,6,High,Bareilly,2023-08-22
R00101,ESI Hospital,AB-,6,Critical,Bareilly,2024-06-16
R00102,Manipal Hospitals,B+,5,High,Ahmedabad,2024-09-13
R00103,Bombay Hospital,A+,5,Medium,Allahabad,2023-08-14
R00104,Bombay Hospital,A+,2,Low,Gwalior,2023-11-30
R00105,Safdarjung Hospital,B-,7,High,Nagpur,2024-11-17
