request_id,hospital_name,blood_group,units_required,urgency_level,city,request_date
R00001,Narayana Health,O+,3,Medium,Delhi,2024-11-01
R00002,Safdarjung Hospital,B+,3,Medium,Bangalore,2024-02-09
R00003,KEM Hospital,O+,3,High,Kolkata,2024-06-06
R00004,Jehangir Hospital,O+,2,Medium,Jaipur,2024-06-23
R00005,Ruby Hall Clinic,B+,5,Critical,Kolkata,2024-07-05
R00006,Medanta,B+,3,Low,Bangalore,2024-12-22
R00007,Narayana Health,B+,1,High,Coimbatore,2023-07-07
R00008,Manipal Hospital,O+,1,Critical,Bangalore,2023-02-21
R00009,Max Super Speciality,O+,3,Critical,Mumbai,2024-04-16
R00010,Lilavati Hospital,A-,2,Low,Indore,2024-12-05
R00011,Max Super Speciality,B+,2,High,Delhi,2024-06-25
R00012,Christian Medical College,B+,1,High,Thane,2023-03-22
R00013,Aster CMI,A+,2,High,Mumbai,2023-04-27
R00014,Lilavati Hospital,A+,2,Medium,Chennai,2023-04-04
R00015,Deenanath Mangeshkar,O+,2,High,Nagpur,2024-11-11
R00016,Apollo Hospital,B+,4,Low,Agra,2024-02-29
R00017,Deenanath Mangeshkar,O+,1,High,Mumbai,2024-12-23
R00018,Fortis Healthcare,B+,1,Low,Bhopal,2024-10-10
R00019,Christian Medical College,AB-,1,High,Mumbai,2023-10-24
R00020,Medanta,O-,5,High,Bhopal,2024-09-23
R00021,Apollo Hospital,O+,2,High,Nagpur,2023-01-16
R00022,Christian Medical College,A-,2,High,Ahmedabad,2024-12-10
R00023,Kokilaben Dhirubhai Ambani,AB-,1,Medium,Delhi,2023-03-29
R00024,AIIMS,A-,1,Medium,Mumbai,2024-04-27
R00025,Narayana Health,O-,2,Critical,Visakhapatnam,2023-02-03
R00026,Max Super Speciality,A+,3,High,Hyderabad,2023-03-13
R00027,Jehangir Hospital,O+,1,Low,Coimbatore,2024-10-04
R00028,Kokilaben Dhirubhai Ambani,AB+,4,Low,Kolkata,2023-07-15
R00029,Jehangir Hospital,B+,1,High,Kolkata,2024-03-23
R00030,Ruby Hall Clinic,O+,1,Medium,Agra,2023-12-07
R00031,Narayana Health,A-,2,High,Mumbai,2023-07-03
R00032,KEM Hospital,AB+,2,Critical,Mumbai,2023-09-27
R00033,Max Super Speciality,B+,3,High,Nagpur,2023-09-22
R00034,Narayana Health,A+,3,Low,Indore,2023-04-29
R00035,Apollo Hospital,A+,5,Medium,Mumbai,2024-07-23
